communityID,householdID,ID,crosssection,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad1,INDV_weight_ad2,Biomarker_weight,longitudinal,HH_L_weight,INDV_L_weight,HH_L_Died,INDV_L_Died,imonth,iyear,HHmemberID,versionID
0101041,0101041010,010104101001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21136.158203125,26146.486328125,1,35854.44140625,36365.76953125,0,0,07,2013,2,20151118
0101041,0101041010,010104101002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21294.744140625,26122.353515625,1,35854.44140625,36127.7109375,0,0,07,2013,1,20151118
0101041,0101041020,010104102001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21164.22265625,,1,34150.11328125,35267.5703125,0,0,07,2013,2,20151118
0101041,0101041020,010104102002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21340.154296875,25073.912109375,1,34150.11328125,34325.34375,0,0,07,2013,1,20151118
0101041,0101041030,010104103001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21294.744140625,26122.353515625,1,36884.3046875,39846.9453125,0,0,07,2013,1,20151118
0101041,0101041030,010104103002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21136.158203125,26656.73828125,1,36884.3046875,37102.33984375,0,0,07,2013,2,20151118
0101041,0101041040,010104104001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21344.123046875,24808.69921875,1,34150.11328125,34319.66015625,0,0,07,2013,1,20151118
0101041,0101041040,010104104002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21153.751953125,24795.27734375,1,34150.11328125,51405.21484375,0,0,07,2013,2,20151118
0101041,0101041050,010104105001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21188.94140625,24520.146484375,1,34135.0703125,34305.8828125,0,0,07,2013,2,20151118
0101041,0101041050,010104105002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21372.740234375,25119.39453125,1,34135.0703125,34269.6171875,0,0,07,2013,1,20151118
0101041,0101041060,010104106001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21233.962890625,,1,33701.42578125,33836.890625,0,0,07,2013,2,20151118
0101041,0101041060,010104106002,0,18912.8515625,20804.13671875,,,,,1,33701.42578125,33800.15234375,0,1,07,2013,,20151118
0101041,0101041070,010104107001,1,18912.8515625,20804.13671875,37825.703125,41608.2734375,42841.60546875,49657.625,1,33670.2421875,67525.171875,0,0,07,2013,1,20151118
0101041,0101041070,010104107002,1,18912.8515625,20804.13671875,37825.703125,41608.2734375,42467.92578125,51610.07421875,0,33670.2421875,,0,,07,2013,2,20151118
0101041,0101041080,010104108001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21161.576171875,24804.44921875,1,34109.27734375,35272.41796875,0,0,11,2013,2,20151118
0101041,0101041080,010104108002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21336.212890625,24716.263671875,1,34109.27734375,34290.16015625,0,0,11,2013,1,20151118
0101041,0101041090,010104109001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21284.005859375,30057.404296875,1,36028.9765625,39857.7265625,0,0,07,2013,1,20151118
0101041,0101041090,010104109002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21133.716796875,26143.46484375,1,36028.9765625,36249.09765625,0,0,07,2013,2,20151118
0101041,0101041100,010104110001,1,37825.703125,41608.2734375,37825.703125,41608.2734375,42328.4453125,,1,68147.234375,70535.140625,0,0,07,2013,2,20151118
0101041,0101041100,010104110002,1,37825.703125,41608.2734375,37825.703125,41608.2734375,42720.5859375,49654.98828125,1,68147.234375,68443.765625,0,0,07,2013,1,20151118
0101041,0101041110,010104111001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21328.423828125,26787.2890625,1,36616.96875,36626.92578125,0,0,07,2013,1,20151118
0101041,0101041120,010104112001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21305.720703125,26758.775390625,1,35123.109375,36869.765625,0,0,07,2013,1,20151118
0101041,0101041120,010104112002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21156.33984375,24798.310546875,1,35123.109375,35282.59375,0,0,07,2013,2,20151118
0101041,0101041130,010104113001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21298.376953125,26245.71875,1,35854.44140625,36118.84765625,0,0,07,2013,1,20151118
0101041,0101041130,010104113002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21138.615234375,26539.85546875,1,35854.44140625,36358.8359375,0,0,07,2013,2,20151118
0101041,0101041140,010104114001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21158.94921875,24801.369140625,1,34073.6171875,35277.421875,0,0,07,2013,1,20151118
0101041,0101041140,010104114002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21348.119140625,24813.34375,1,34073.6171875,34237.30078125,0,0,07,2013,2,20151118
0101041,0101041150,010104115001,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21302.03515625,26250.2265625,1,35799.61328125,36055.0546875,0,0,07,2013,1,20151118
0101041,0101041150,010104115002,1,18912.8515625,20804.13671875,18912.8515625,20804.13671875,21133.716796875,26533.705078125,1,35799.61328125,36173.51171875,0,0,07,2013,2,20151118
