ID,householdID,communityID,intro_infselect,intro_infselect_1,inf1_rtr,notice1,inf2_rtr,notice2,inf3_rtr,informant_selection,inf1_noiwreason,inf2_noiwreason,infother_reason,dd001_w4,dd002_w4,dd003_w4,dd004_w4,dd005_w4,dd006_w4,dd007_w4,dd008_w4,dd009_w4,dd010_w4,dd011_w4,dd012_w4,dd013_w4,dd014_w4,dd015_w4,dd016_w4,dd017_w4,dd018_w4,dd019_w4,dd020_w4,dd021_w4,dd022_w4,dd023_w4,dd024_w4,dd025_w4,dd026_w4,dd027_w4,dd028_w4,dd029_w4,dd030_w4,dd031_w4,dd032_w4,dd033_w4,dd034_w4,dd035_w4,dd036_w4,dd037_w4,dd039_w4,dd040_w4,dd041_w4,dd042_w4,dd043_w4,dd044_w4,dd045_w4,dd046_w4,dd047_w4,dd048_w4_s1,dd048_w4_s2,dd048_w4_s3,dd048_w4_s4,dd048_w4_s5,dd048_w4_s6,dd049_w4,dd050_w4,dd051_w4,versionID
194037221001,1940372210,1940372,1,,1,2,,,,1,,,,69,1,10,1,50.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,3,4,0,0,1,2,2,20200914
194037219001,1940372190,1940372,1,,2,1,1,2,,2,5,,,69,2,4,1,61.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,3,4,0,0,2,2,,20200914
194037219002,1940372190,1940372,1,,1,2,,,,1,,,,72,1,4,1,61.0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,4,4,1,1,1,2,2,2,2,1,1,0,2,3,4,0,0,2,2,,20200914
194037214002,1940372140,1940372,1,,1,2,,,,1,,,,72,2,5,1,53.0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,2,2,,20200914
194037214001,1940372140,1940372,1,,1,2,,,,1,,,,72,1,9,1,50.0,1,1,2,2,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037206002,1940372060,1940372,1,,1,2,,,,1,,,,67,2,6,1,51.0,1,1,2,2,2,2,3,3,5,4,5,4,4,4,4,4,3,3,3,3,3,4,3,2,3,2,4,3,3,3,4,4,1,1,1,1,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
194037206001,1940372060,1940372,1,,1,2,,,,1,,,,70,1,8,1,50.0,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,2,1,1,0,0,0,4,0,0,1,2,2,20200914
194037204001,1940372040,1940372,2,拒绝推荐，找到,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200914
194037204002,1940372040,1940372,1,,1,2,,,,1,,,,60,2,5,1,40.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,4,0,0,2,2,,20200914
194037333002,1940373330,1940373,1,,2,2,,,,1,,,,50,2,2,2,,1,1,1,2,2,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,3,1,1,1,2,2,2,2,1,1,1,2,3,4,0,0,2,2,,20200914
194037333001,1940373330,1940373,1,,9,2,,,,1,,,,50,2,2,2,,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,8,3,5,5,3,8,4,2,2,2,2,2,2,1,2,0,2,3,4,0,0,2,2,,20200914
194037301002,1940373010,1940373,1,,2,2,,,,1,,,,45,1,6,2,,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,4,0,0,2,2,,20200914
194037301001,1940373010,1940373,1,,5,1,4,1,2,3,5,2,,45,1,6,2,,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,6,3,3,3,3,3,3,1,1,1,2,2,1,1,1,1,0,0,0,4,0,0,2,2,,20200914
194037315002,1940373150,1940373,1,,9,1,6,2,,1,,,,82,1,2,9,80.0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037311002,1940373110,1940373,1,,2,2,,,,1,,,,38,1,9,2,,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,6,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,0,2,3,4,0,0,1,2,2,20200914
194037329001,1940373290,1940373,1,,2,2,,,,1,,,,54,1,2,2,,1,1,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,5,4,5,5,4,4,5,4,4,1,1,1,2,1,1,1,1,1,0,2,3,4,0,0,2,2,2,20200914
194037316001,1940373160,1940373,1,,1,2,,,,1,,,,66,2,1,1,42.0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037316002,1940373160,1940373,1,,1,2,,,,1,,,,67,1,2,1,42.0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037321001,1940373210,1940373,1,,2,2,,,,1,,,,48,1,5,2,,1,1,1,1,2,1,3,4,4,4,5,5,4,4,4,4,4,5,4,5,5,4,6,6,4,6,6,4,3,3,3,3,1,1,1,2,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
194037319001,1940373190,1940373,1,,6,1,9,2,,1,,,,64,1,8,6,9.0,5,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037319002,1940373190,1940373,1,,9,2,,,,1,,,,31,2,7,9,10.0,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,2,3,4,0,0,1,2,2,20200914
194037306002,1940373060,1940373,1,,2,2,,,,1,,,,25,2,5,2,,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,3,4,0,0,1,2,2,20200914
194037307001,1940373070,1940373,1,,1,2,,,,1,,,,63,2,4,1,39.0,1,1,2,2,2,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,1,1,1,0,2,3,4,0,0,1,2,2,20200914
194037307002,1940373070,1940373,1,,4,1,9,1,1,3,5,5,,63,1,5,1,41.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037326001,1940373260,1940373,1,,1,2,,,,1,,,,70,2,2,1,47.0,1,2,2,2,2,2,3,1,3,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,2,2,2,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,,20200914
194037326002,1940373260,1940373,1,,1,2,,,,1,,,,69,1,4,1,43.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
194037328001,1940373280,1940373,1,,2,1,2,1,2,1,,,,50,2,4,2,,3,1,2,2,2,1,2,3,4,4,4,5,4,5,4,5,3,3,5,5,5,4,5,6,4,5,4,4,4,5,5,8,1,1,1,2,2,2,2,1,1,1,2,3,4,0,0,1,1,,20200914
194037324001,1940373240,1940373,1,,1,2,,,,1,,,,67,2,1,1,40.0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,5,5,6,4,3,1,3,3,3,1,1,1,1,1,2,2,1,1,0,2,3,4,0,0,1,2,2,20200914
194037324002,1940373240,1940373,1,,1,2,,,,1,,,,65,1,1,1,40.0,1,1,2,2,2,2,1,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0,2,3,4,0,0,2,2,2,20200914
